Subject_ID,Task,Valid_Trial_Count,Correct_Trial_Count,Overall_Accuracy,Total_Hesitation_Duration
xxxxxxxx123,Dots,12,12,1,5.921651069
xxxxxxxx123,Hanzi,12,12,1,2.867501679
xxxxxxxx123,STT,12,9,0.75,22.31588377
xxxxxxxx124,Dots,12,12,1,5.718843848
xxxxxxxx124,Hanzi,12,12,1,5.522253082
xxxxxxxx124,STT,12,12,1,6.96380098
xxxxxxxx125,Dots,12,12,1,8.562019454
xxxxxxxx125,Hanzi,12,10,0.833333333,7.299232781
xxxxxxxx125,STT,12,12,1,9.134724242
xxxxxxxx126,Dots,12,12,1,2.970821948
xxxxxxxx126,Hanzi,12,12,1,4.513744672
xxxxxxxx126,STT,12,12,1,5.594328499
xxxxxxxx127,Dots,12,12,1,6.289432133
xxxxxxxx127,Hanzi,12,12,1,4.026208399
xxxxxxxx127,STT,12,12,1,14.3158475
xxxxxxxx128,Dots,12,11,0.916666667,3.094335165
xxxxxxxx128,Hanzi,12,12,1,2.446839237
xxxxxxxx128,STT,12,12,1,12.80802844
xxxxxxxx129,Dots,12,12,1,11.12197679
xxxxxxxx129,Hanzi,12,12,1,3.448688654
xxxxxxxx129,STT,12,6,0.5,25.31594981
xxxxxxxx130,Dots,12,12,1,4.397776973
xxxxxxxx130,Hanzi,12,12,1,3.161240446
xxxxxxxx130,STT,12,11,0.916666667,8.09256423
xxxxxxxx131,Dots,12,12,1,4.121212863
xxxxxxxx131,Hanzi,12,12,1,4.006410129
xxxxxxxx131,STT,12,12,1,9.940327976
xxxxxxxx132,Dots,12,12,1,4.477485953
xxxxxxxx132,Hanzi,12,12,1,6.80469488
xxxxxxxx132,STT,12,12,1,8.021925845
xxxxxxxx133,Dots,12,12,1,5.603248886
xxxxxxxx133,Hanzi,12,12,1,3.482030704
xxxxxxxx133,STT,12,12,1,8.294669818
xxxxxxxx134,Dots,12,12,1,6.379149781
xxxxxxxx134,Hanzi,12,12,1,5.279750941
xxxxxxxx134,STT,12,12,1,13.99207517
xxxxxxxx135,Dots,12,12,1,3.055627091
xxxxxxxx135,Hanzi,12,12,1,3.052559424
xxxxxxxx135,STT,12,11,0.916666667,13.22254255
xxxxxxxx136,Dots,12,12,1,8.822044731
xxxxxxxx136,Hanzi,12,12,1,4.29727368
xxxxxxxx136,STT,12,8,0.666666667,33.9772173
xxxxxxxx137,Dots,12,12,1,7.521579784
xxxxxxxx137,Hanzi,12,12,1,3.97044626
xxxxxxxx137,STT,12,11,0.916666667,16.00775684
xxxxxxxx138,Dots,12,12,1,6.264946956
xxxxxxxx138,Hanzi,12,12,1,7.458959681
xxxxxxxx138,STT,12,12,1,14.7170326
xxxxxxxx139,Dots,12,12,1,6.073797357
xxxxxxxx139,Hanzi,12,12,1,3.80698677
xxxxxxxx139,STT,12,12,1,16.06925971
xxxxxxxx140,Dots,12,12,1,8.263639494
xxxxxxxx140,Hanzi,12,12,1,6.231464079
xxxxxxxx140,STT,12,12,1,19.41333456
xxxxxxxx141,Dots,12,12,1,10.48167807
xxxxxxxx141,Hanzi,12,12,1,6.348925293
xxxxxxxx141,STT,12,12,1,15.90577426
xxxxxxxx142,Dots,12,12,1,2.828888261
xxxxxxxx142,Hanzi,12,10,0.833333333,3.226348227
xxxxxxxx142,STT,12,12,1,11.75450076
xxxxxxxx143,Dots,12,12,1,5.854081552
xxxxxxxx143,Hanzi,12,10,0.833333333,4.960480073
xxxxxxxx143,STT,12,12,1,16.09186278
xxxxxxxx144,Dots,12,10,0.833333333,14.63699762
xxxxxxxx144,Hanzi,12,12,1,4.989495216
xxxxxxxx144,STT,12,10,0.833333333,21.67238456
xxxxxxxx145,Dots,12,12,1,7.558745835
xxxxxxxx145,Hanzi,12,12,1,3.957793042
xxxxxxxx145,STT,12,12,1,15.67791402
xxxxxxxx146,Dots,12,12,1,8.860644701
xxxxxxxx146,Hanzi,12,11,0.916666667,7.488030451
xxxxxxxx146,STT,12,12,1,19.01591747
xxxxxxxx147,Dots,12,8,0.666666667,7.797316929
xxxxxxxx147,Hanzi,12,12,1,3.695271574
xxxxxxxx147,STT,12,10,0.833333333,21.33514342
xxxxxxxx148,Dots,12,12,1,11.36701701
xxxxxxxx148,Hanzi,12,12,1,6.324370157
xxxxxxxx148,STT,12,10,0.833333333,18.21632579
xxxxxxxx149,Dots,12,12,1,5.793429813
xxxxxxxx149,Hanzi,12,12,1,7.268532958
xxxxxxxx149,STT,12,12,1,10.53072801
xxxxxxxx150,Dots,12,12,1,4.44733702
xxxxxxxx150,Hanzi,12,12,1,5.408221446
xxxxxxxx150,STT,12,12,1,6.789292876
xxxxxxxx151,Dots,12,12,1,6.421757443
xxxxxxxx151,Hanzi,12,12,1,2.736229385
xxxxxxxx151,STT,12,12,1,9.633832973
xxxxxxxx152,Dots,12,12,1,7.658112731
xxxxxxxx152,Hanzi,12,12,1,3.943483209
xxxxxxxx152,STT,12,12,1,13.15994812
xxxxxxxx153,Dots,12,12,1,6.826878219
xxxxxxxx153,Hanzi,12,12,1,4.389844481
xxxxxxxx153,STT,12,12,1,11.19016963
xxxxxxxx154,Dots,12,10,0.833333333,2.399214913
xxxxxxxx154,Hanzi,12,12,1,2.067071014
xxxxxxxx154,STT,12,12,1,9.812634086
xxxxxxxx155,Dots,12,12,1,12.39582282
xxxxxxxx155,Hanzi,12,12,1,7.279239923
xxxxxxxx155,STT,12,12,1,11.51029617
xxxxxxxx156,Dots,12,12,1,7.801417941
xxxxxxxx156,Hanzi,12,12,1,4.024746732
xxxxxxxx156,STT,12,12,1,10.402132
xxxxxxxx157,Dots,12,12,1,8.087424622
xxxxxxxx157,Hanzi,12,12,1,6.059813241
xxxxxxxx157,STT,12,12,1,15.40890022
xxxxxxxx158,Dots,12,12,1,12.52219281
xxxxxxxx158,Hanzi,12,12,1,6.940000985
xxxxxxxx158,STT,12,12,1,22.80538807
