Subject_ID,Task,Valid_Item_Count,Correct_Item_Count,Overall_Accuracy,Card_Completion_Time,Completion_Time_Was_Missing,Card_Completion_Time_Imputed,Accuracy_Z,Completion_Time_Z
xxxxxxxx067,CW,12,12,1.0,7.9799,False,7.9799,0.43493459490912884,-1.030668166694682
xxxxxxxx067,W,12,12,1.0,6.9952,False,6.9952,0.23849196668686676,-0.327170963949344
xxxxxxxx068,CW,12,12,1.0,17.1222,False,17.1222,0.43493459490912884,0.5705567474126284
xxxxxxxx068,W,12,12,1.0,6.7777,False,6.7777,0.23849196668686676,-0.4342955631918663
xxxxxxxx069,CW,12,5,0.4166666666666667,11.46,False,11.46,-2.976680028988011,-0.42114727768591476
xxxxxxxx069,W,12,12,1.0,5.9954,False,5.9954,0.23849196668686676,-0.8195993516397996
xxxxxxxx070,CW,12,10,0.8333333333333334,11.0899,False,11.0899,-0.539812440490054,-0.485968311857963
xxxxxxxx070,W,12,12,1.0,6.4634,False,6.4634,0.23849196668686676,-0.589096765683475
xxxxxxxx071,CW,12,12,1.0,8.3152,False,8.3152,0.43493459490912884,-0.9719421662680735
xxxxxxxx071,W,12,12,1.0,5.6452,False,5.6452,0.23849196668686676,-0.9920822695925877
xxxxxxxx072,CW,12,12,1.0,8.3621,False,8.3621,0.43493459490912884,-0.9637278822835585
xxxxxxxx072,W,12,12,1.0,5.2541,False,5.2541,0.23849196668686676,-1.1847095374719008
xxxxxxxx073,CW,12,12,1.0,10.3705,False,10.3705,0.43493459490912884,-0.6119673715266241
xxxxxxxx073,W,12,12,1.0,6.9922,False,6.9922,0.23849196668686676,-0.3286485446285508
xxxxxxxx074,CW,12,12,1.0,7.09,False,7.09,0.43493459490912884,-1.1865293888230408
xxxxxxxx074,W,12,12,1.0,4.3462,False,4.3462,0.23849196668686676,-1.6318747036893093
xxxxxxxx075,CW,12,12,1.0,14.8064,False,14.8064,0.43493459490912884,0.16495677190430896
xxxxxxxx075,W,12,12,1.0,7.1678,False,7.1678,0.23849196668686676,-0.24216082220562252
xxxxxxxx076,CW,12,12,1.0,14.8613,False,14.8613,0.43493459490912884,0.17457221307168383
xxxxxxxx076,W,12,12,1.0,8.1895,False,8.1895,0.23849196668686676,0.2610539044430463
xxxxxxxx077,CW,12,12,1.0,8.8939,False,8.8939,0.43493459490912884,-0.8705859585529581
xxxxxxxx077,W,12,12,1.0,8.9547,False,8.9547,0.23849196668686676,0.6379354830194984
xxxxxxxx078,CW,12,12,1.0,13.1282,False,13.1282,0.43493459490912884,-0.12897097613009037
xxxxxxxx078,W,12,12,1.0,13.7059,False,13.7059,0.23849196668686676,2.9780292573692613
xxxxxxxx079,CW,12,12,1.0,9.6831,False,9.6831,0.43493459490912884,-0.7323618024638462
xxxxxxxx079,W,12,12,1.0,6.4724,False,6.4724,0.23849196668686676,-0.5846640236458532
xxxxxxxx080,CW,12,12,1.0,11.3772,False,11.3772,0.43493459490912884,-0.43564925452851305
xxxxxxxx080,W,12,12,1.0,5.327,False,5.327,0.23849196668686676,-1.1488043269671657
xxxxxxxx081,CW,12,12,1.0,13.3088,False,13.3088,0.43493459490912884,-0.09733985272703201
xxxxxxxx081,W,12,12,1.0,11.1088,False,11.1088,0.23849196668686676,1.698887663379581
xxxxxxxx082,CW,12,12,1.0,10.2438,False,10.2438,0.43493459490912884,-0.6341581984101649
xxxxxxxx082,W,12,12,1.0,6.6889,False,6.6889,0.23849196668686676,-0.4780319512963997
xxxxxxxx083,CW,12,12,1.0,12.6244,False,12.6244,0.43493459490912884,-0.2172088497206817
xxxxxxxx083,W,12,12,1.0,6.1431,False,6.1431,0.23849196668686676,-0.7468531295334983
xxxxxxxx084,CW,12,12,1.0,12.9686,False,12.9686,0.43493459490912884,-0.1569240619281418
xxxxxxxx084,W,12,12,1.0,6.7358,False,6.7358,0.23849196668686676,-0.4549324400114603
xxxxxxxx085,CW,12,12,1.0,8.0887,False,8.0887,0.43493459490912884,-1.01161242900779
xxxxxxxx085,W,12,12,1.0,7.0929,False,7.0929,0.23849196668686676,-0.2790510864964956
xxxxxxxx086,CW,12,12,1.0,10.1231,False,10.1231,0.43493459490912884,-0.6552981574065609
xxxxxxxx086,W,12,12,1.0,7.0351,False,7.0351,0.23849196668686676,-0.30751914091588795
xxxxxxxx087,CW,12,10,0.8333333333333334,6.8814,False,6.8814,-0.539812440490054,-1.2230645623661083
xxxxxxxx087,W,12,12,1.0,6.7388,False,6.7388,0.23849196668686676,-0.45345485933225305
xxxxxxxx088,CW,12,12,1.0,10.8075,False,10.8075,0.43493459490912884,-0.5354291604129116
xxxxxxxx088,W,12,12,1.0,5.9595,False,5.9595,0.23849196668686676,-0.837281067100979
xxxxxxxx089,CW,12,12,1.0,9.4805,False,9.4805,0.43493459490912884,-0.7678461081197688
xxxxxxxx089,W,12,12,1.0,4.5866,False,4.5866,0.23849196668686676,-1.513471238595505
xxxxxxxx090,CW,12,12,1.0,7.938,False,7.938,0.43493459490912884,-1.0380067274399098
