Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,Dots_Age_Coef,Dots_Age_PValue,Dots_Age_Significant,STT_Age_Coef,STT_Age_PValue,STT_Age_Significant
F2amplitudeLogRelF0_sma3nz_amean,F2-mean [tongue position],-0.1641759099511513,-4.9191601981195765,-0.2295904869407894,-0.0987613329615131,8.691631385726228e-07,True,3.724984879596955e-06,True,0.0581492934442396,0.0804987758358225,False,-0.1060266165069117,0.0037076667799178,True
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0 semitone-standard deviation [pitch],0.2115934857325712,4.686120976770284,0.1230931601772394,0.3000938112879031,2.784317226114468e-06,True,1.139038865228646e-05,True,0.0192143907409647,0.3696635302102173,False,0.230807876473536,7.942390967130564e-09,True
StddevVoicedSegmentLengthSec,Voiced segment duration SD [voicing stability],0.1860311673579299,4.63458401841429,0.1073572051268391,0.2647051295890207,3.576559519315334e-06,True,1.39952329016687e-05,True,-0.0088070639999923,0.692584570209023,False,0.1772241033579375,1.4415153752889154e-06,True
jitterLocal_sma3nz_stddevNorm,Jitter-coefficient of variation [roughness],0.1654023847594998,4.301318693595109,0.0900327836622005,0.240771985856799,1.6978466340010305e-05,True,6.366924877503864e-05,True,0.0802428070183009,0.0051002307584515,True,0.2456451917778007,1.1197487381764404e-11,True
hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexV-coefficient of variation,0.1297177814566724,4.2064402861557735,0.0692754990613049,0.19016006385204,2.5942458922811143e-05,True,9.339285212212011e-05,True,0.1817342181768226,6.15578272855885e-08,True,0.3114519996334951,0.0,True
mfcc1V_sma3nz_amean,MFCC coefficient 1-mean [vocal tract feature],-0.1151016532646332,-4.168275056512647,-0.1692245787769977,-0.0609787277522686,3.069134396071783e-05,True,0.000102304479869,True,-0.0964265371209613,0.0339063526789854,True,-0.2115281903855946,1.2763749350774845e-06,True
loudnessPeaksPerSec,loudnessPeaksPerSec,-0.1484462081675907,-4.16935504506732,-0.2182302790522951,-0.0786621372828863,3.054628199788372e-05,True,0.000102304479869,True,-0.0298788829418622,0.3758518749858197,False,-0.178325091109453,1.4843726625635156e-07,True
spectralFluxV_sma3nz_stddevNorm,Spectral flux-coefficient of variation [timbre change],0.1049453756085578,3.6481967083315263,0.0485632908040228,0.1613274604130928,0.0002640874144817,True,0.0008488524036912,True,-0.1065342128035317,0.0074706396963801,True,-0.0015888371949739,0.9684963708066616,False
shimmerLocaldB_sma3nz_amean,Shimmer-mean [hoarseness],0.1246450510408997,3.3486579269544388,0.0516891668122723,0.197600935269527,0.0008120398641573,True,0.0025201237163504,True,0.1878984877759271,2.497106225104422e-07,True,0.3125435388168268,2.220446049250313e-16,True
slopeUV0-500_sma3nz_amean,slopeUV0-500-mean,0.1065372834717087,3.181440465293736,0.040902525291417,0.1721720416520004,0.0014654463905089,True,0.0043963391715268,True,-0.0005209315582933,0.9850929813261392,False,0.1060163519134154,0.0018708894044707,True
