Feature,English_Description,Interaction_Coef,Z_Score,HDI_2.5%,HDI_97.5%,Interaction_PValue,Significant_Interaction,Interaction_FDR_PValue,Significant_Interaction_FDR,W_Age_Coef,W_Age_PValue,W_Age_Significant,C_Age_Coef,C_Age_PValue,C_Age_Significant
VoicedSegmentsPerSec,VoicedSegmentsPerSec,0.016548568010144454,0.4422762306416204,-0.056788389874362785,0.0898855258946517,0.6582893290098705,False,0.8652699499733542,False,-0.19943254797905985,9.162314880769945e-06,True,-0.1828839799689154,1.9731008693568697e-07,True
jitterLocal_sma3nz_amean,Jitter-mean [roughness],-0.014040266929152495,-0.43526012025918775,-0.07726435271204476,0.04918381885373977,0.6633736283129049,False,0.8652699499733542,False,0.09616848328011639,0.0006587702945526126,True,0.08212821635096389,0.016757232824907264,True
mfcc4V_sma3nz_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],-0.01314873923203768,-0.37785891269284466,-0.08135284406876309,0.05505536560468773,0.7055354063884971,False,0.9071169510709248,False,0.0038028971307277597,0.8837581328045228,False,-0.00934584210130992,0.700638302607014,False
spectralFluxV_sma3nz_amean,Spectral flux-mean [timbre change],0.006192575450439837,0.2810703472296701,-0.03699037857688147,0.049375529477761144,0.778656444221957,False,0.9245259681754381,False,0.23058935009384934,0.0011171892227047097,True,0.23678192554428917,0.00040105505674570274,True
loudnessPeaksPerSec,loudnessPeaksPerSec,0.011540328663648906,0.3323555557331826,-0.05651643702168414,0.07959709434898195,0.7396207942580177,False,0.9245259681754381,False,-0.1242329753784021,0.0005104008358594922,True,-0.1126926467147532,0.0007400450793182412,True
mfcc2_sma3_amean,MFCC coefficient 2-mean [vocal tract feature],0.006974322543294486,0.2533420084843191,-0.04698306204775447,0.06093170713434344,0.8000039365636611,False,0.9245259681754381,False,-0.017152063811171358,0.7076056130278758,False,-0.010177741267876872,0.826463750660094,False
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0 semitone-standard deviation [pitch],0.008929263703054207,0.26832730256869086,-0.05629465011580126,0.07415317752190967,0.7884473921269386,False,0.9245259681754381,False,0.034954129779635724,0.14740421590284122,False,0.04388339348268993,0.12412267236904406,False
mfcc2_sma3_stddevNorm,MFCC coefficient 2-coefficient of variation [vocal tract feature],0.009928188232665948,0.25172214465222853,-0.0673762895394806,0.0872326660048125,0.8012558390853797,False,0.9245259681754381,False,0.003748061336035334,0.8685180645396049,False,0.013676249568701282,0.67678164995047,False
loudness_sma3_percentile80.0,Loudness-80th percentile [intensity],-0.004857853022828553,-0.2576515591783521,-0.04181238167038487,0.03209667562472776,0.7966758342289085,False,0.9245259681754381,False,0.20853857804919,0.0010697642771765495,True,0.20368072502636145,0.0019890122108856545,True
alphaRatioV_sma3nz_amean,Alpha ratio-mean [energy distribution],0.009086875522764116,0.2973111764707164,-0.0508176199490766,0.06899137099460484,0.7662289496397936,False,0.9245259681754381,False,0.01637069988969872,0.6494651415704938,False,0.025457575412462838,0.5277697071844984,False
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0 semitone-80th percentile [pitch],-0.005560226396211548,-0.30555549043809493,-0.041226558953186374,0.030106106160763275,0.7599431139934704,False,0.9245259681754381,False,0.16258406437017872,0.03967115368299279,True,0.15702383797396718,0.0377103691548899,True
mfcc4_sma3_stddevNorm,MFCC coefficient 4-coefficient of variation [vocal tract feature],-0.006971826744390284,-0.20595885394623373,-0.07331896432640556,0.059375310837624984,0.8368230519977935,False,0.9423067484672107,False,0.015676486137849156,0.5741444515587254,False,0.008704659393458871,0.8054259910423531,False
slopeUV0-500_sma3nz_amean,slopeUV0-500-mean,0.006588789867930837,0.20495664440652345,-0.05641979508689489,0.06959737482275656,0.8376059986375206,False,0.9423067484672107,False,0.05068302141591997,0.09899715820377468,False,0.0572718112838508,0.05299611362601642,False
